word,freq,colour
physically,2,no
pic,2,no
pictorial,2,no
pink,2,no
pinwheel,2,no
placed,2,no
planned,2,no
please,2,no
plugged,2,no
pointing,2,no
points,2,no
poles,2,no
possibility,2,no
posted,2,no
potato,2,no
powered,2,no
powering,2,no
pre,2,no
preparing,2,no
preschool,2,no
press,2,no
pressed,2,no
pressing,2,no
presumably,2,no
principle,2,no
prior,2,no
produce,2,no
progression,2,no
proof,2,no
provoking,2,no
pulling,2,no
push,2,no
pushes,2,no
ran,2,no
ranging,2,no
rank,2,no
recall,2,no
recreated,2,no
reinforce,2,no
remain,2,no
remeber,2,no
remembered,2,no
repeatedly,2,no
repeating,2,no
reported,2,no
reproductive,2,no
requested,2,no
resulting,2,no
reverse,2,no
reviewed,2,no
robots,2,no
rotate,2,no
rover,2,no
row,2,no
rubber,2,no
russian,2,no
s,2,no
s1,2,no
sale,2,no
satisfaction,2,no
saves,2,no
scenarios,2,no
sciencey,2,no
scientists,2,no
scouts,2,no
searched,2,no
season,2,no
secret,2,no
sees,2,no
seldom,2,no
selection,2,no
selling,2,no
sending,2,no
sends,2,no
sequential,2,no
session,2,no
shapes,2,no
shelf,2,no
shot,2,no
shouldnt,2,no
